,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
menuoptions_resolution,Resolution: $0,Разрешение: $0,Resolucao: $0,Resolucion: $0,Auflosung: $0,Resolution : $0,分辨率：$0,解像度：$0,해상도: $0,Resoluutio: $0,,,
menuoptions_resolution_illegible, - WARNING: Might be illegible!, ? ВНИМАНИЕ: изображение может быть неразличимым!, AVISO: pode ficar ilegivel!, - ADVERTENCIA: ¡Podria ser ilegible!, - WARNUNG: Konnte unleserlich sein!, - AVERTISSEMENT : risque d'etre illisible !, - 警告：?面可能?以辨?！, - 警告：判?できない可能性があります！, - 경고: 읽기 힘들 수 있습니다!,,,,
menuoptions_matchresolution,Match resolution to current display resolution,Выбрать разрешение игры согласно текущему разрешению экрана,Corresponder resolucao do jogo a resolucao atual da tela,Usar la resolucion actual del monitor,Die Auflosung an die aktuelle Bildschirmauflosung anpassen,Faire correspondre la resolution a la resolution d'affichage actuelle,?使用??前?示分辨率相符的分辨率,現在のディスプレイ解像度に合わせる,해상도를 디스플레이 해상도에 맞춤,Matsaa nykyiseen resoluutioon,,,
menuoptions_applydisplay,Apply display settings,Применить настройки отображения,Aplicar configuracoes de video,Aplicar ajustes de pantalla,Bildschirmeinstellungen anwenden,Appliquer les parametres d'affichage,?用?示?置,ディスプレイ設定を適用する,디스플레이 설정 적용,Ota nayttoasetukset kayttoon,,,
menuoptions_renderingquality,Rendering quality,Качество отрисовки,Qualidade da renderizacao,Calidad de renderizado,Darstellungsqualitat,Qualite du rendu,渲染?量,レンダリングクオリティ?,렌더링 품질,,,,
menuoptions_lowqualityrendering,Low quality rendering: $0,Низкокачественная отрисовка: $0,Renderizacao de baixa qualidade: $0,Renderizado de baja calidad: $0,Niedrige Darstellungsqualitat: $0,Rendu de basse qualite : $0,低?量渲染：$0,低クオリティレンダリング：$0,저품질 렌더링: $0,,,,
menuoptions_vsync,Vsync: $0,Верт. синхронизация: $0,Sincronizacao vertical: $0,Sincronizacion vertical: $0,Vsync: $0,Synchro verticale : $0,垂直同步: $0,垂直同期：$0,수직 동기화: $0,Vsync: $0,,,
menuoptions_display_areyousure,Do you want to keep the new display settings? Old settings will be restored in $0 seconds.,Сохранить новые настройки отображения? Предыдущие значения будут восстановлены через $0 с.,Manter as novas configuracoes de video? As antigas configuracoes serao restauradas em $0 segundo(s).,¿Quieres mantener los ajustes de pantalla? Se restauraran los ajustes anteriores en $0 segundos.,Mochtest du die neuen Bildschirmeinstellungen beibehalten? Die alten Einstellungen werden in $0 Sekunden wiederhergestellt.,Voulez-vous conserver les nouveaux parametres d'affichage ? Les anciens parametres seront restaures dans $0 secondes.,要保留新的?示?置?？$0 秒后??原??置。,新しいディスプレイ設定を保持しますか？以前の設定が$0秒後に復元されます。,새 디스플레이 설정을 유지하시겠습니까? $0초 뒤에 예전 설정으로 돌아갑니다.,,,,
menuoptions_resetsave,Reset all progress,Сбросить весь прогресс,Redefinir todo o progresso,Reiniciar todo el progreso,Gesamten Fortschritt zurucksetzen,Reinitialiser toute la progression,重置所有?展,全ての進行度をリセットする,모두 초기화,,,,
menuoptions_resetsave_areyousure,Are you sure you want to reset all progress? This cannot be undone!,Действительно сбросить весь прогресс? Это действие нельзя отменить!,Redefinir todo o progresso? Nao sera possivel desfazer isso!,¿Seguro que quieres reiniciar todo el progreso? ¡Esta accion no se podra deshacer!,"Bist du sicher, dass du den gesamten Fortschritt zurucksetzen willst? Dies kann nicht ruckgangig gemacht werden!",Voulez-vous vraiment reinitialiser toute la progression ? Cette action est irreversible !,?定要重置所有?展?？此操作无法撤?！,本?に全ての進行度をリセットしますか？これを?行すると、やり直すことはできません！,모든 진행 상황을 초기화하시겠습니까? 되돌릴 수 없습니다!,,,,
menugameover_newgame,New Game,Новая игра,Novo jogo,Nueva partida,Neues Spiel,Nouvelle partie,新游?,新規ゲ?ム,새 게임 시작,Uusi peli,,,
menugameover_savereplay,Save death replay,Сохранить повтор смерти,Salvar replay de morte,Guardar repeticion de la muerte,Todeswiederholung speichern,Sauvegarder la video de la mort,保存死亡回放,デスリプレイを保存する,사망 리플레이 저장,Tallenna video viimeisista hetkista,,,
menugameover_quit,Quit,Выход,Sair,Salir,Beenden,Quitter,退出,終了,종료,Lopeta,,,
menugameover_gamecompleted,COMPLETED THE GAME!,ИГРА ПРОЙДЕНА!,JOGO CONCLUIDO!,¡JUEGO COMPLETADO!,SPIEL ABGESCHLOSSEN!,A TERMINE LE JEU !,游?完成！,ゲ?ムをクリアしました！,게임을 완료했습니다!,LAPAISIT PELIN!,,,
menugameover_nextbutton,You are dead - click here for stats,Вы мертвы ? нажмите здесь и посмотрите статистику,Voce morreu. Clique aqui para ver as estatisticas.,Has muerto - haz clic aqui para ver estadisticas,Du bist tot - klicke hier fur deine Statistiken,Vous avez peri - cliquez ici pour voir vos statistiques,?死掉了 - 点?此??看??,あなたは死にました - ここをクリックして統計を見る,사망했습니다 - 통계를 보려면 클릭,Kuolit - klikkaa tasta nahdaksesi statsit,,,
menugameover_records,RECORDS,РЕКОРДЫ,RECORDES,RECORDS,REKORDE,RECORDS,??,記?,기록,,,as in 'world record',
menuoldsavegame_text,A save game with old version was detected. Would you like to continue it? (Weird things may occur.),Обнаружена сохраненная игра со старой версии. Продолжить ее? (Может происходить странное.),Um jogo salvo de uma versao antiga foi detectado. Continuar a partir dele? (Coisas estranhas podem acontecer.),Se ha detectado un guardado de una version anterior. ¿Deseas continuar? (Pueden ocurrir sucesos inesperados).,Ein Speicherstand mit einer alten Version wurde gefunden. Mochtest du damit weiterspielen (Merkwurdige Dinge konnten passieren.),Une sauvegarde sur une ancienne version a ete detectee. Voulez-vous la poursuivre ? (Des choses etranges pourraient se produire.),??到?版本的存?。要???？（可能?生奇怪??。）,古いバ?ジョンの保存?みゲ?ムが見つかりました。このまま?行しますか？(問題が?生する可能性があります。),이전 버전의 저장 게임이 있습니다. 계속하시겠습니까?(이상한 일이 일어날 수 있습니다.),,,,
menuautosave_text,Autosave found. Looks like the game crashed? The game will restart.,"Найдено автосохранение. Похоже, игра дала сбой и будет перезапущена.",Salvamento automatico encontrado. Parece que o jogo fechou sozinho? Ele sera reiniciado.,Autoguardado encontrado. Parece que el juego ha experimentado un fallo. El juego se reiniciara.,"Auto-Speicherstand gefunden. Sieht so aus, als ware das Spiel abgesturzt? Das Spiel wird neu gestartet.",Sauvegarde auto trouvee. On dirait que le jeu a plante ? Il va redemarrer.,??自?存?。是游?崩?了?？游???重新?始。,自動保存デ?タが見つかりました。ゲ?ムがクラッシュしたようです。ゲ?ムは再起動されます。,자동 저장 내역이 있습니다. 게임이 충돌을 일으켰던 걸까요? 게임을 다시 시작합니다.,,,,
menuoptions_pixelart_aa,Pixel art anti-aliasing: $0,Сглаживание пиксельной графики: $0,Antisserrilhado de arte em pixels: $0,Antialiasing de pixel art: $0,Pixel-Art-Anti-Aliasing: $0,Anticrenelage du pixel art : $0,像素抗??：$0,ピクセルア?トアンチエイリアス?理：$0,픽셀 아트 안티 앨리어싱: $0,Pikselitaiteen antialiasointi: $0,,,
menuoptions_lowres,Low resolution rendering: $0,Отрисовка в низком разрешении: $0,Renderizacao de resolucao baixa: $0,Renderizado de baja resolucion: $0,Niedrige Auflosungsqualitat: $0,Rendu basse resolution : $0,低分辨率渲染：$0,低解像度レンダリング：$0,저해상도 렌더링: $0,Piirra matalalla resoluutiolla: $0,,,
menuoptions_lowres_tooltip,EXPERIMENTAL. Might cause minor rendering glitches.,ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ. Могут появиться глюки отрисовки.,EXPERIMENTAL. Pode causar pequenas falhas graficas.,EXPERIMENTAL. Puede causar pequenos fallos de renderizado.,EXPERIMENTELL. Konnte geringfugige Darstellungsfehler verursachen.,EXPERIMENTAL. Risque d'entrainer des erreurs de rendu mineures.,??性功能。可能?致少量渲染??。,??用です。マイナ?なレンダリンググリッチが起こる可能性があります。,실험용 옵션입니다. 렌더링 글리치가 발생할 수 있습니다.,KOKEELLINEN. Saattaa aiheutaa harmittomia piirtobugeja.,,,
menuoptions_brightness,Brightness,Яркость,Brilho,Brillo,Helligkeit,Luminosite,亮度,明るさ,밝기,Kuvan kirkkaus,,,
menuoptions_contrast,Contrast,Контрастность,Contraste,Contraste,Kontrast,Contraste,?比度,コントラスト,대비,Kuvan kontrasti,,,
menuoptions_gamma,Gamma,Гамма,Gama,Gamma,Gamma,Gamma,伽?校正,ガンマ,감마,Kuvan gamma,,,
menuoptions_reset_keyboard,Right click to reset to default.,Правая кнопка мыши ? вернуть настройки по умолчанию.,Clique com o botao direito para redefinir para o padrao.,Haz clic derecho para volver a la configuracion por defecto.,"Rechtsklicken, um auf Standardeinstellungen zuruckzusetzen.",Faites un clic droit pour retablir les reglages par defaut.,右???以重置?默??。,右クリックでデフォルトにリセットしてください。,우클릭으로 초기화,Klikkaa oikealla painikkeella palauttaaksesi oletusasetuksen.,,,
menuoptions_reset_gamepad,Press B to reset to default.,Кнопка B ? вернуть настройки по умолчанию.,Aperte B para redefinir para o padrao.,Pulsa B para volver a la configuracion por defecto.,"B drucken, um auf Standardeinstellungen zuruckzusetzen.",Appuyez sur B pour retablir les reglages par defaut.,按 B ?重置?默??。,Bを押してデフォルトにリセットしてください。,B를 눌러 초기화,Paina B palauttaaksesi oletusasetuksen.,,,
menuoptions_musicvolume,Music volume,Громкость музыки,Volume da musica,Volumen de la musica,Musiklautstarke,Volume de la musique,音?音量,音?音量,음악 볼륨,Musiikin aanenvoimakkuus,,,
menuoptions_soundsvolume,Sounds volume,Громкость звуков,Volume dos sons,Volumen de efectos,Tonlautstarke,Volume du son,音效音量,サウンド音量,사운드 볼륨,Aaniefektien aanenvoimakkuus,,,
menuoptions_configurecontrols,Configure controls,Настроить управление,Configurar controles,Configurar controles,Steuerung konfigurieren,Configurer les commandes,控制配置,操作設定,컨트롤 설정하기,,,,
menuoptions_configurecontrols_hint_keyboard,Right click on a control to reset it to default,Правая кнопка мыши на элементе ? вернуть настройки по умолчанию.,Clique com o botao direito em um controle para redefini-lo para o padrao.,Haz clic derecho en un comando para cambiarlo a la configuracion por defecto,"Rechtsklicken, um Standardeinstellungen wiederherzustellen.",Faites un clic droit sur une commande pour la reinitialiser,右???控制?，?其重置?默??。,キ?バインドで右クリックしてデフォルトにリセットしてください,우클릭으로 초기화,,,,
menuoptions_configurecontrols_hint_gamepad,Press B on a control reset it to default,Кнопка B на элементе ? вернуть настройки по умолчанию.,Aperte B em um controle para redefini-lo para o padrao.,Pulsa B en un comando para cambiarlo a la configuracion por defecto,"B drucken, um Standardeinstellungen wiederherzustellen.",Appuyez sur B sur une commande pour la reinitialiser,在控制?上按 B ?，?其重置?默??。,キ?バインドでBを押してしてデフォルトにリセットしてください,B를 눌러 초기화,,,,
menuoptions_configurecontrols_reset_all,Reset all to default,Вернуть все настройки по умолчанию,Redefinir tudo para o padrao,Cambiar todo a los valores por defecto,Alles auf Standardeinstellungen zurucksetzen,Tout reinitialiser,全部重置?默??,全てをデフォルトにリセットする,모두 초기화,,,,
menuoptions_configurecontrols_rebind_keyboard,Press the key or button for $0,Нажмите клавишу или кнопку для действия ≪$0≫,Aperte uma tecla ou um botao para $0,Pulsa la tecla o boton para $0,Drucke die Taste oder den Knopf fur $0,Appuyez sur la touche ou le bouton pour $0,按下用于“$0”的?,そのキ?かボタンを押して$0に割り?てる,$0 키 또는 버튼 입력,,,,
menuoptions_configurecontrols_rebind_gamepad,Press the button for $0,Нажмите кнопку для действия ≪$0≫,Aperte um botao para $0,Pulsa el boton para $0,Drucke den Knopf fur $0,Appuyez sur le bouton pour $0,按下用于“$0”的按?,そのボタンを押して$0に割り?てる,$0 버튼 입력,,,,
menuoptions_controls,Gamepad: $0,Геймпад: $0,Controle: $0,Mando: $0,Gamepad: $0,Manette : $0,游?手柄：$0,ゲ?ムパッド：$0,게임패드: $0,Ohjain: $0,,,
menuoptions_mousesensitivity,Mouse sensitivity,Чувствительность мыши,Sensibilidade do mouse,Sensibilidad del raton,Mausempfindlichkeit,Sensibilite de la souris,鼠??敏度,マウス感度,마우스 민감도,,,,
menuoptions_controls_keyboard,Mouse + Keyboard,Мышь + клавиатура,Mouse e teclado,Raton y teclado,Maus + Tastatur,Clavier + souris,鼠? + ??,マウス + キ?ボ?ド,마우스 + 키보드,Hiiri + Nappaimisto,,,
menuoptions_controls_autodetectgamepad,Auto-detect gamepad,Автоопределение геймпада,Detectar controle automaticamente,Detectar mando automaticamente,Gamepad automatisch erkennen,Detecter automatiquement la manette,自???游?手柄,ゲ?ムパッドを自動感知,게임패드 자동 탐지,Tunnista peliohjain automaattisesti,,,
menuoptions_gamepad_rumble,Gamepad rumble intensity,Громкость вибрации геймпада,Intensidade da vibracao do controle,Intensidad de vibracion del mando,Gamepad-Vibrationsintensitat,Intensite des vibrations de la manette,游?手柄振?强度,ゲ?ムパッドのランブル?度,게임패드 진동 강도,,,,
menuoptions_ui_inventory_icons_always_clickable,Click on icon switches item: $0,При щелчке по значку меняется предмет: $0,Clicar no icone troca o item: $0,Hacer clic en el icono cambia el objeto: $0,Klick aufs Symbol wechselt den Gegenstand: $0,Cliquer sur l'icone change d'objet : $0,点???切?物品：$0,アイコンをクリックして次のアイテムを切り替え： $0,아이콘을 클릭하여 아이템 교체: $0,,,,
menuoptions_application_rendered_cursor,Application rendered cursor: $0,Отрисовка курсора приложением: $0,Ponteiro renderizado do aplicativo: $0,Cursor renderizado: $0,Von der Anwendung angepasster Mauszeiger: $0,Curseur de l'application : $0,?用程序渲染指?：$0,レンダリングカ?ソルの適用： $0,어플리케이션에서 커서 렌더링: $0,,,,
menuoptions_screenshake_intensity,Screen shake intensity,Интенсивность дрожания экрана,Intensidade do tremor da tela,Intensidad de temblor de pantalla,Bildschirm-Erschutterungsintensitat,Intensite des tremblements,?面振?强度,?面振動?度,화면 흔들림 강도,,,,
menuoptions_damagenumbers,Damage numbers: $0,Цифры урона: $0,Numeros de dano: $0,Indicadores de dano: $0,Schadenszahlen: $0,Nombres des degats : $0,?害??：$0,ダメ?ジ?： $0,피해량 표시: $0,Nayta aiheutettu vahinko: $0,,,
menuoptions_replayrecorder,Replay recorder: $0,Запись повторов: $0,Gravador de replay: $0,Grabar repeticion: $0,Wiederholungs-Aufnahme: $0,Enregistreur de videos : $0,回放?像机：$0,リプレイレコ?ダ?： $0,리플레이 기록: $0,Uusinnan nauhoitin: $0,,,
menuoptions_replayrecorder_tooltip,EXPERIMENTAL. Too high a budget might affect performance.,ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ. Слишком высокое значение может снизить производительность.,EXPERIMENTAL. Um tamanho muito alto pode afetar o desempenho.,EXPERIMENTAL. Puede causar problemas de rendimiento al aumentar el tamano.,EXPERIMENTELL. Zu hohe Speichereinstellungen konnen das Spiel verlangsamen.,EXPERIMENTAL. Une allocation trop elevee pourrait affecter les performances.,??性。?高的?留?存可能影?性能。,??用です。バジェットが高過ぎると、パフォ?マンスに影響する可能性があります。,실험용 기능입니다. 너무 높게 설정하면 성능에 문제가 있을 수 있습니다.,KOKEELLINEN. Liian korkea muistivaraus voi hidastaa pelia.,,,
menuoptions_replaybudget,Replay budget [MB],Ограничение на повторы [МБ],Tamanho de replay [MB],Tamano de la repeticion [MB],Wiederholungs-Speicher [MB],Allocation videos [MB],回放?留?存 [MB],リプレイバジェット [MB],리플레이 크기 [MB],Uusinnan nauhoitukseen varattu muisti [MB]:,,,
menuoptions_checkforupdates,Check for updates: $0,Проверка наличия обновлений: $0,Procurar atualizacoes: $0,Buscar actualizaciones: $0,Auf Updates uberprufen: $0,Chercher les mises a jour : $0,??更新：$0,アップデ?トを確認： $0,업데이트 확인: $0,,,,
menuoptions_language,Language: English,Language: русский,Language: Portugues (Brasil),Language: Espanol,Language: Deutsch,Language : Francais,Language：??中文,Language： 日本語,Language: 한국어,Language: Suomi (Jonne) (Work in progress),,,
menuupdatenotification_title,NEW UPDATE AVAILABLE,ВЫШЛО ОБНОВЛЕНИЕ,NOVA ATUALIZACAO DISPONIVEL,NUEVA ACTUALIZACION DISPONIBLE,NEUES UPDATE VERFUGBAR,NOUVELLE MISE A JOUR DISPONIBLE,有新的更新,最新アップデ?ト利用可能,새 업데이트 사용 가능,,,,
menuupdatenotification_description_generic,A new build of Noita is now available!\nClick here for release notes,"Вышла новая сборка игры Noita!\nЧтобы прочитать заметки о выпуске, нажмите сюда.",Uma nova versao de Noita esta disponivel!\nClique aqui para ver as notas da versao,¡Hay una nueva actualizacion para Noita!\nHaz clic aqui para ver las notas del parche,Eine neue Version von Noita ist jetzt verfugbar!\nHier klicken fur die Versionsinformationen,Une nouvelle version de Noita est desormais disponible !\nCliquez ici pour voir les notes de version,新版本《Noita》?已上?！\n??此??看?行?明,Noitaの新しいビルドが利用可能です！\nここをクリックしてリリ?スノ?トをご確認ください。,새로운 Noita 빌드가 있습니다!\n여기를 클릭하여 릴리즈 노트를 확인하세요.,,,,
menureleasenotes_notavailable,No release notes available,Заметок о выпуске нет,Nenhuma nota de versao disponivel,No hay notas del parche disponibles,Keine Versionsinformationen,Aucune note de version disponible,?有可用的?行?明,リリ?スノ?トがありません,릴리즈 노트 없음,,,,
